# 归园田居 — 翻译字符串表
# 格式: key,zh,en,context
# 用途: 本地化字符串管理

# ============ 天气系统 ============
# ============ 烹饪系统 ============
cooking.fried_egg,煎蛋,Fried Egg,食谱名称
cooking.bread,烤面包,Bread,食谱名称
cooking.juice,果汁,Fruit Juice,食谱名称
cooking.veg_soup,蔬菜汤,Vegetable Soup,食谱名称
cooking.meat_soup,肉汤,Meat Soup,食谱名称
cooking.fish_soup,鱼汤,Fish Soup,食谱名称
cooking.cake,蛋糕,Cake,食谱名称
cooking.jam,果酱,Jam,食谱名称
cooking.cheese,奶酪,Cheese,食谱名称
cooking.honey_dish,蜂蜜料理,Honey Dish,食谱名称
cooking.no_recipes,暂无菜谱,No recipes,空状态
cooking.select,选择,Select,按钮
cooking.start,开始烹饪,Start Cooking,按钮
cooking.no_ingredients,无需食材,No ingredients needed,提示
cooking.no_buffs,暂无Buff,No buffs,提示
cooking.duration,%d天,%d days,持续时间
cooking.select_recipe,选择一道菜谱,Select a recipe,提示
cooking.select_first,请先选择一个菜谱,Please select a recipe first,错误消息
cooking.recipe_not_found,菜谱不存在,Recipe not found,错误消息
cooking.ingredient_insufficient,食材不足: %s,Insufficient ingredients: %s,错误消息
cooking.starting,开始烹饪: %s,Starting cooking: %s,提示消息
cooking.failed,烹饪失败,Cooking failed,错误消息
cooking.eat_success,食用成功,Eating successful,成功消息
cooking.eat_failed,物品不足,Items insufficient,错误消息

# ============ Buff名称 ============
buff.stamina_restore,体力恢复,Stamina Restore,Buff名称
buff.speed,速度,Speed,Buff名称
buff.luck,幸运,Luck,Buff名称

# ============ HUD系统 ============
hud.spring,春,Spring,季节emoji key
hud.summer,夏,Summer,季节emoji key
hud.autumn,秋,Autumn,季节emoji key
hud.winter,冬,Winter,季节emoji key
hud.hoe,锄头,Hoe,工具名称
hud.watering_can,浇水壶,Watering Can,工具名称
hud.seeds,种子,Seeds,工具名称
hud.hand,手,Hand,工具名称
hud.fertilizer,肥料,Fertilizer,工具名称
hud.skill_upgrade,🌟 %s 升级！Lv.%d,🌟 %s Level Up! Lv.%d,技能升级通知
hud.date_format,%s第%d天,%s Day %d,日期显示
hud.region,%s区域,%s Region,区域标签
hud.farming_skill,农耕 Lv.%d,Farming Lv.%d,技能显示
hud.fishing_skill,钓鱼 Lv.%d,Fishing Lv.%d,技能显示
hud.selected,已选择: %s,Selected: %s,工具选择通知
hud.unknown_tool,未知,Unknown,工具回退
hud.inventory,📦 背包 (B),📦 Inventory (B),快捷键提示
hud.map,🗺️ 地图 (M),🗺️ Map (M),快捷键提示
hud.quest,📋 任务 (J),📋 Quest (J),快捷键提示
hud.menu,⚙️ 菜单 (ESC),⚙️ Menu (ESC),快捷键提示
hud.shop,🏪 商店 (S),🏪 Shop (S),快捷键提示
hud.cooking,🍳 烹饪 (C),🍳 Cooking (C),快捷键提示

# ============ 玩家操作反馈 ============
player.stamina_insufficient,体力不足!,Insufficient stamina!,错误消息
player.already_tilled,这里已经耕过了,Already tilled,提示消息
player.has_crops_cannot_till,有作物，不能耕地,Has crops, cannot till,提示消息
player.harvest_first,先收获作物,Harvest crops first,提示消息
player.till_first,先耕地,Till first,提示消息
player.no_crops,没有作物,No crops,提示消息
player.already_watered,已经浇过水了,Already watered,提示消息
player.already_has_crop,已经有作物了,Already has crop,提示消息
player.no_seeds,没有种子了！,No seeds left!,错误消息
player.crop_still_growing,作物还在生长中...,Crop still growing...,提示消息
player.switched_to,切换到: %s,Switched to: %s,提示消息

# ============ 天气体力惩罚 ============
weather.rain_stamina,雨天体力消耗增加 🌧️,Rainy stamina consumption + 🌧️,天气提示
weather.storm_stamina,暴风雨中体力消耗增加 ⛈️,Stormy stamina consumption + ⛈️,天气提示
weather.snow_stamina,雪天体力消耗增加 ❄️,Snowy stamina consumption + ❄️,天气提示
weather.green_rain_stamina,绿雨体力消耗增加 🌱,Green rain stamina consumption + 🌱,天气提示
weather.windy_stamina,大风体力消耗增加 💨,Windy stamina consumption + 💨,天气提示
weather.bad_weather_stamina,天气恶劣，体力消耗增加,Bad weather, stamina consumption increased,天气提示

# ============ 夜晚/日期 ============
main.midnight,[Main] 午夜了！,[Main] Midnight!,系统消息
main.new_day,[Main] 新的一天: %s 第%d天,[Main] New day: %s Day %d,系统消息
main.good_night,晚安！,Good night!,睡眠消息
main.fainted,昏倒了...,Fainted...,状态消息

# ============ 钓鱼系统 ============
fishing.already_fishing,正在钓鱼中...,Already fishing...,错误消息
fishing.stamina_insufficient,体力不足！,Insufficient stamina!,错误消息
fishing.starting,开始钓鱼...,Starting fishing...,提示消息
fishing.not_initialized,钓鱼系统未初始化,Fishing system not initialized,错误消息

# ============ 背包系统 ============
inv.backpack_full,背包已达最大容量,Backpack at max capacity,警告消息
inv.expand_success,背包扩容成功,Backpack expanded successfully,成功消息
inv.expanded_to,背包已扩容至 %d 格,Backpack expanded to %d slots,成功消息
inv.moved_back,已移回 %d 个物品,Moved back %d items,成功消息
inv.temp_empty,临时背包为空,Temp backpack empty,提示消息

# ============ 背包操作 ============
inv.use,使用,Use,操作标签
inv.discard,丢弃,Discard,操作标签
inv.unlock,解锁,Unlock,操作标签
inv.lock,锁定,Lock,操作标签
inv.sell,出售,Sell,操作标签
inv.discard_locked,已锁定的物品无法丢弃,Locked items cannot be discarded,错误消息
inv.unlocked,已解锁,Unlocked,成功消息
inv.locked,已锁定,Locked,成功消息

# ============ 装备系统 ============
inv.current_equipment,当前装备,Current Equipment,面板标题
inv.weapon,武器,Weapon,装备槽
inv.ring1,戒指1,Ring 1,装备槽
inv.ring2,戒指2,Ring 2,装备槽
inv.hat,帽子,Hat,装备槽
inv.shoes,鞋子,Shoes,装备槽
inv.set_none,套装: 无,Set: None,套装进度
inv.weapon_list,武器列表,Weapon List,列表标题
inv.ring_list,戒指列表,Ring List,列表标题
inv.hat_list,帽子列表,Hat List,列表标题
inv.shoes_list,鞋子列表,Shoe List,列表标题
inv.upgrade_progress,升级进度,Upgrade Progress,面板标题
inv.tools,工具,Tools,列表标题
inv.watering_can_name,浇水壶,Watering Can,工具名称
inv.hoe_name,锄头,Hoe,工具名称
inv.pickaxe_name,镐子,Pickaxe,工具名称
inv.fishing_rod_name,鱼竿,Fishing Rod,工具名称
inv.sickle_name,镰刀,Sickle,工具名称
inv.axe_name,斧头,Axe,工具名称
inv.pan_name,平底锅,Pan,工具名称
inv.select_tool_detail,选择一个工具查看详情,Select a tool to view details,提示消息
inv.upgrade_button,升级 (需要材料),Upgrade (materials needed),按钮
inv.presets_title,装备方案 (最多5个),Equipment Presets (max 5),面板标题
inv.battle_gear,战斗装,Battle Gear,方案名称
inv.miner_gear,矿工装,Miner Gear,方案名称
inv.fishing_gear,钓鱼装,Fishing Gear,方案名称
inv.farmer_gear,农夫装,Farmer Gear,方案名称
inv.default_preset,默认,Default,方案名称
inv.preset_details,方案详情,Preset Details,面板标题
inv.select_preset_detail,选择一个方案查看详情,Select a preset to view details,提示消息
inv.apply,应用,Apply,按钮
inv.edit,编辑,Edit,按钮
inv.delete,删除,Delete,按钮
inv.new_preset,新建方案,New Preset,按钮
inv.equipment_crafting,装备合成,Equipment Crafting,面板标题
inv.ring_category,戒指,Ring,分类
inv.hat_category,帽子,Hat,分类
inv.shoes_category,鞋子,Shoes,分类
inv.crafting_developing,合成系统开发中,Crafting system in development,提示消息
inv.crafting_coming,戒指、帽子、鞋子合成功能\n将在 C05 ProcessingSystem 实现后开放,Ring, hat, shoe crafting\nwill open after C05 ProcessingSystem,提示消息
inv.recipe_list_coming,配方列表 (待实现),Recipe list (to be implemented),提示消息

# ============ 通用UI ============
ui.no_products,暂无商品,No products,空状态
ui.chicken,鸡,Chicken,动物标签
ui.cow,牛,Cow,动物标签
ui.sheep,羊,Sheep,动物标签
ui.pig,猪,Pig,动物标签
ui.goat,山羊,Goat,动物标签
ui.select_product,请选择商品,Please select a product,提示消息
ui.total_price,总价: %dg,Total: %dg,价格显示
ui.select_first,请先选择一个商品,Please select a product first,错误消息
ui.spent, - 花费 %d 金币, - Spent %d gold,消费消息
ui.earned, + 获得 %d 金币, + Earned %d gold,收入消息
ui.failed,失败: ,Failed: ,错误消息
ui.unknown_error,未知错误,Unknown error,错误消息
ui.buy,购买,Buy,按钮
ui.sell,出售,Sell,按钮
ui.stock,库存: %d,Stock: %d,库存显示
ui.click_to_select,[ 点击选择 ],[ Click to select ],提示

# ============ 通知测试（调试用） ============
notification.test_coins,+100 金币,+100 Coins,测试消息
notification.test_stamina,-10 体力,-10 Stamina,测试消息
notification.test_quest,任务完成!,Quest complete!,测试消息
notification.test_full,背包已满,Backpack full,测试消息
notification.test_system,系统消息,System message,测试消息

# ============ 畜牧系统常量 ============
animal.disease_name,疾病,Disease,常量

# ============ 新增：烹饪状态 ============
cooking.cooking_status,正在烹饪: %s (剩余 %d 天),Cooking: %s (%d days remaining),状态显示
cooking.finished,烹饪完成！,Cooking finished!,成功消息

# ============ 新增：商店操作结果 ============
shop.item_not_found,物品不存在,Item not found,错误消息
shop.invalid_params,参数错误,Invalid parameters,错误消息
shop.no_cooking_in_progress,当前没有在进行的烹饪,No cooking in progress,错误消息


# ============ 背包UI ============
inventory.select_tool_detail,选择一个工具查看详情,Select a tool to view details,提示文本
inventory.no_items,背包为空,No items in inventory,提示文本
